tig00000037	NZ_CP041738.1	99.661	3540	10	2	57660	61197	1792678	1789139	0.0	6469
tig00000037	NZ_CP041738.1	99.664	2378	8	0	94277	96654	1787985	1785608	0.0	4348
tig00000037	NZ_CP041738.1	99.647	1416	5	0	101917	103332	1778165	1776750	0.0	2588
tig00000037	NZ_CP041738.1	81.000	3200	570	36	134268	137452	479903	476727	0.0	2507
tig00000037	NZ_CP041738.1	99.342	1367	8	1	130262	131627	1779157	1780523	0.0	2473
tig00000037	NZ_CP041738.1	99.198	1371	10	1	117133	118502	1779152	1780522	0.0	2470
tig00000037	NZ_CP041738.1	99.268	1366	10	0	105194	106559	1779157	1780522	0.0	2468
tig00000037	NZ_CP041738.1	99.851	1338	2	0	96656	97993	471796	470459	0.0	2460
tig00000037	NZ_CP041738.1	99.555	1349	6	0	161180	162528	471800	470452	0.0	2459
tig00000037	NZ_CP041738.1	99.702	1343	4	0	35832	37174	470458	471800	0.0	2459
tig00000037	NZ_CP041738.1	99.622	1324	4	1	38567	39889	471787	470464	0.0	2416
tig00000037	NZ_CP041738.1	98.792	1242	4	1	55051	56292	1794776	1793546	0.0	2200
tig00000037	NZ_CP041738.1	96.187	1154	43	1	29517	30670	1789138	1787986	0.0	1886
tig00000037	NZ_CP041738.1	95.472	1060	41	6	218518	219573	1789042	1787986	0.0	1685
tig00000037	NZ_CP041738.1	99.140	814	6	1	24016	24829	442843	443655	0.0	1463
tig00000037	NZ_CP041738.1	99.139	813	7	0	24013	24825	450744	449932	0.0	1463
tig00000037	NZ_CP041738.1	98.771	814	8	2	16982	17794	450741	449929	0.0	1447
tig00000037	NZ_CP041738.1	98.889	810	8	1	16983	17791	442844	443653	0.0	1445
tig00000037	NZ_CP041738.1	97.546	815	6	13	221892	222699	443652	442845	0.0	1382
tig00000037	NZ_CP041738.1	97.546	815	6	13	221892	222699	449932	450739	0.0	1382
tig00000037	NZ_CP041738.1	84.649	1381	190	16	53678	55043	544559	545932	0.0	1356
tig00000037	NZ_CP041738.1	84.443	1382	193	16	56294	57660	544559	545933	0.0	1341
tig00000037	NZ_CP041738.1	80.156	1537	294	10	91468	93000	130306	131835	0.0	1138
tig00000037	NZ_CP041738.1	91.429	735	60	3	2110	2842	443577	442844	0.0	1005
tig00000037	NZ_CP041738.1	91.429	735	60	3	2110	2842	450007	450740	0.0	1005
tig00000037	NZ_CP041738.1	86.897	809	106	0	36362	37170	443801	444609	0.0	907
tig00000037	NZ_CP041738.1	86.897	809	106	0	161184	161992	444609	443801	0.0	907
tig00000037	NZ_CP041738.1	86.897	809	106	0	96656	97464	444609	443801	0.0	907
tig00000037	NZ_CP041738.1	86.625	800	106	1	38567	39365	444600	443801	0.0	883
tig00000037	NZ_CP041738.1	98.583	494	3	2	150028	150521	443329	442840	0.0	870
tig00000037	NZ_CP041738.1	98.384	495	5	1	150022	150516	450249	450740	0.0	867
tig00000037	NZ_CP041738.1	100.000	422	0	0	97994	98415	1778675	1778254	0.0	780
tig00000037	NZ_CP041738.1	99.268	410	2	1	2035	2444	447494	447902	0.0	739
tig00000037	NZ_CP041738.1	99.003	301	3	0	149736	150036	443653	443353	1.60e-151	540
tig00000037	NZ_CP041738.1	99.000	300	3	0	149737	150036	449932	450231	5.74e-151	538
tig00000037	NZ_CP041738.1	100.000	246	0	0	53434	53679	471796	471551	5.95e-126	455
tig00000037	NZ_CP041738.1	91.791	268	22	0	152197	152464	1796535	1796268	1.71e-101	374
tig00000037	NZ_CP041738.1	95.536	224	10	0	75101	75324	1787762	1787985	4.80e-97	359
tig00000037	NZ_CP041738.1	76.117	649	138	13	133630	134269	1807052	1807692	1.75e-86	324
tig00000037	NZ_CP041738.1	75.963	649	139	13	177878	178517	1807052	1807692	8.14e-85	318
tig00000037	NZ_CP041738.1	88.211	246	29	0	53434	53679	444609	444364	1.37e-77	294
tig00000037	NZ_CP041738.1	91.707	205	17	0	61180	61384	1778195	1777991	8.25e-75	285
tig00000037	NZ_CP041738.1	86.640	247	33	0	65246	65492	1778003	1777757	1.79e-71	274
tig00000037	NZ_CP041738.1	100.000	120	0	0	53677	53796	1779037	1779156	6.56e-56	222
